group_id,mouse,line,depth_class,cohort,compartment,unit_id,n_awake_trials,median_pupil_coverage,f0_vs_pupil_rho,f0_vs_speed_rho,f0_vs_respiration_rho
202,m496,DAT,superficial,DAT superficial,somas,g161,78,0.531578947368421,-0.09565217391304347,0.06188101714810037,0.2068932411674347
202,m496,DAT,superficial,DAT superficial,somas,g162,78,0.531578947368421,-0.02608695652173913,0.0366180156892392,0.2182699692780338
202,m496,DAT,superficial,DAT superficial,somas,g163,78,0.531578947368421,-0.11130434782608695,0.1402102931645895,-0.015312980030721965
202,m496,DAT,superficial,DAT superficial,somas,g164,78,0.531578947368421,-0.04608695652173912,0.191485676216084,0.26272081413210446
202,m496,DAT,superficial,DAT superficial,somas,g165,78,0.531578947368421,0.08347826086956521,0.1588685883596961,0.12696812596006146
202,m496,DAT,superficial,DAT superficial,somas,g166,78,0.531578947368421,-0.16347826086956518,0.03423016034772794,0.08131720430107527
202,m496,DAT,superficial,DAT superficial,somas,g167,78,0.531578947368421,-0.11652173913043477,0.07200399963312418,0.19014016897081415
202,m496,DAT,superficial,DAT superficial,somas,g168,78,0.531578947368421,-0.348695652173913,0.13885124783724,0.18375576036866362
202,m496,DAT,superficial,DAT superficial,somas,g169,78,0.531578947368421,-0.1434782608695652,-0.22068609871679884,-0.049395161290322585
202,m496,DAT,superficial,DAT superficial,somas,g170,78,0.531578947368421,-0.28521739130434776,0.06753312154689034,0.15159370199692784
