group_id,mouse,line,depth_class,cohort,compartment,unit_id,n_awake_trials,median_pupil_coverage,f0_vs_pupil_rho,f0_vs_speed_rho,f0_vs_respiration_rho
175,m442,DAT,superficial,DAT superficial,somas,g109,88,0.0390625,,0.29225737282846126,0.2517644469124411
175,m442,DAT,superficial,DAT superficial,somas,g110,88,0.0390625,,0.24308920174032464,0.2452658228062055
175,m442,DAT,superficial,DAT superficial,somas,g111,88,0.0390625,,-0.22836961832398384,0.07336048432120412
175,m442,DAT,superficial,DAT superficial,somas,g112,88,0.0390625,,0.25563039264388165,0.17854485417077598
175,m442,DAT,superficial,DAT superficial,somas,g113,88,0.0390625,,0.011438765542836451,0.1004733076587371
175,m442,DAT,superficial,DAT superficial,somas,g114,88,0.0390625,,0.2690623432389009,0.3270533847285851
175,m442,DAT,superficial,DAT superficial,somas,g115,88,0.0390625,,0.22907517055484503,0.2947011557769461
175,m442,DAT,superficial,DAT superficial,somas,g116,88,0.0390625,,0.2581880194807533,0.18814309302686918
175,m442,DAT,superficial,DAT superficial,somas,g117,88,0.0390625,,0.1124562061963821,0.17961915246476073
175,m442,DAT,superficial,DAT superficial,somas,g118,88,0.0390625,,0.2500212524085355,0.21190093562663015
175,m442,DAT,superficial,DAT superficial,somas,g119,88,0.0390625,,0.1632736056241567,0.1829301045839268
175,m442,DAT,superficial,DAT superficial,somas,g120,88,0.0390625,,0.3956119552467345,0.13470996148670994
175,m442,DAT,superficial,DAT superficial,somas,g121,88,0.0390625,,0.32366326650466837,0.3269741332150944
175,m442,DAT,superficial,DAT superficial,somas,g122,88,0.0390625,,-0.5239871836519213,-0.06226527243250922
175,m442,DAT,superficial,DAT superficial,somas,g123,88,0.0390625,,0.33345280370786684,0.31693560817294186
175,m442,DAT,superficial,DAT superficial,somas,g124,88,0.0390625,,-0.350033281133104,-0.0882949917523363
175,m442,DAT,superficial,DAT superficial,somas,g125,88,0.0390625,,0.2082790185502125,0.08506329114666086
175,m442,DAT,superficial,DAT superficial,somas,g126,88,0.0390625,,-0.4771914319400553,0.026760594388685548
175,m442,DAT,superficial,DAT superficial,somas,g127,88,0.0390625,,0.21096893643037065,0.20281342874636574
175,m442,DAT,superficial,DAT superficial,somas,g128,88,0.0390625,,0.26539347163842286,0.17492570172136837
175,m442,DAT,superficial,DAT superficial,somas,g129,88,0.0390625,,0.12485628665376686,0.32456136491548926
175,m442,DAT,superficial,DAT superficial,somas,g130,88,0.0390625,,0.37075887791465034,0.19848981839926322
175,m442,DAT,superficial,DAT superficial,somas,g131,88,0.0390625,,0.3682188898835502,0.26579196480029105
175,m442,DAT,superficial,DAT superficial,somas,g132,88,0.0390625,,0.16621046678511622,0.005556411668068635
175,m442,DAT,superficial,DAT superficial,somas,g133,88,0.0390625,,0.33345280370786684,0.29239405616199526
175,m442,DAT,superficial,DAT superficial,somas,g134,88,0.0390625,,0.21523752742708063,0.2197908640808132
175,m442,DAT,superficial,DAT superficial,somas,g135,88,0.0390625,,0.2600841911011927,0.22466923502235048
175,m442,DAT,superficial,DAT superficial,somas,g136,88,0.0390625,,0.3660757749823094,0.21001651075029623
175,m442,DAT,superficial,DAT superficial,somas,g137,88,0.0390625,,-0.11594868973914481,0.011949367089649979
175,m442,DAT,superficial,DAT superficial,somas,g138,88,0.0390625,,0.1936035321483005,0.25220473309850044
175,m442,DAT,superficial,DAT superficial,somas,g139,88,0.0390625,,0.188567653100529,0.17006494222727345
175,m442,DAT,superficial,DAT superficial,somas,g140,88,0.0390625,,0.0730687529085582,0.2512449092128911
175,m442,DAT,superficial,DAT superficial,somas,g141,88,0.0390625,,0.2467668927436884,0.018976334619156748
175,m442,DAT,superficial,DAT superficial,somas,g142,88,0.0390625,,0.31027541292407795,0.1815740231308641
175,m442,DAT,superficial,DAT superficial,somas,g143,88,0.0390625,,0.203692929049615,0.27008915797623007
175,m442,DAT,superficial,DAT superficial,somas,g144,88,0.0390625,,0.2782786192545247,0.2601827187898953
175,m442,DAT,superficial,DAT superficial,somas,g145,88,0.0390625,,0.1943002649762759,0.3429301045978842
175,m442,DAT,superficial,DAT superficial,somas,g146,88,0.0390625,,-0.08125315878654758,-0.017021463953053362
175,m442,DAT,superficial,DAT superficial,somas,g147,88,0.0390625,,0.14753979087595293,0.23147605945882757
175,m442,DAT,superficial,DAT superficial,somas,g148,88,0.0390625,,0.1741743875909615,0.354729774384274
