group_id,mouse,line,depth_class,cohort,state,odor_id,unit_id,positive_auc_z_s_soma,negative_auc_z_s_soma,positive_auc_z_s_process,negative_auc_z_s_process
177,m442,DAT,superficial,DAT superficial,pre,18,g114,4.370145024771765,0.013572122376508714,5.002596896399514,0.031253982047195435
177,m442,DAT,superficial,DAT superficial,pre,18,g115,0.7367434328653477,0.9694819196000002,2.3075875483146997,0.2661296845127176
177,m442,DAT,superficial,DAT superficial,pre,18,g120,3.475644373807181,0.1224081395462608,3.582413048154487,0.06493121257930758
177,m442,DAT,superficial,DAT superficial,pre,18,g121,3.99493358458683,0.0,3.984479035578631,0.044681770740737876
177,m442,DAT,superficial,DAT superficial,pre,18,g123,2.0181980658125203,0.32267391628733383,0.8159562491462802,1.272734980717964
177,m442,DAT,superficial,DAT superficial,pre,18,g124,3.60805622608097,0.13503553578517913,2.7225553988884723,0.20245197026756284
177,m442,DAT,superficial,DAT superficial,pre,18,g125,0.21482013077825546,5.640046419788588,0.3531898050577068,1.8127243386756704
177,m442,DAT,superficial,DAT superficial,pre,18,g126,0.49591275042614913,1.4390165296786308,0.5307080500443072,1.3526897513024063
177,m442,DAT,superficial,DAT superficial,pre,18,g128,8.687763340025938,0.0,5.652216141836127,0.024389083549232478
177,m442,DAT,superficial,DAT superficial,pre,18,g129,4.855659688490552,0.12672090519756316,3.3754076006288334,0.0903215141156387
177,m442,DAT,superficial,DAT superficial,pre,18,g130,12.739020094069174,0.06055890113616942,11.123320331895732,0.00029216106204986566
177,m442,DAT,superficial,DAT superficial,pre,18,g132,0.2154600209212732,3.23148820107522,0.19704334918015476,2.267498434635129
177,m442,DAT,superficial,DAT superficial,pre,18,g133,2.991805386400651,0.11937064134532926,1.0661816684558485,0.46807369062938675
177,m442,DAT,superficial,DAT superficial,pre,18,g134,3.807248180991754,0.27211929900820253,1.6756004799303816,0.3576728452304934
177,m442,DAT,superficial,DAT superficial,pre,18,g135,0.8337786930050037,3.0117511611554137,0.9001491858445926,0.9619663894367693
177,m442,DAT,superficial,DAT superficial,pre,18,g136,3.147371945502518,0.12154290803152079,0.6720840898103998,0.7849102761458727
177,m442,DAT,superficial,DAT superficial,pre,18,g137,1.4153258805959694,0.34169059629770276,1.7078531593469375,0.2924920993168544
177,m442,DAT,superficial,DAT superficial,pre,18,g139,3.922189787290133,0.034384516854286194,4.090106857653751,0.12007769185750004
177,m442,DAT,superficial,DAT superficial,pre,18,g140,3.728613985389373,0.01637567329936982,4.350161404539326,0.12113873895606993
177,m442,DAT,superficial,DAT superficial,pre,18,g141,1.151318761176166,0.4571048414524985,1.5469392744047925,0.6255734004390336
177,m442,DAT,superficial,DAT superficial,pre,18,g142,0.4987026563798833,3.1890881453077973,0.4590214845909691,2.2081667930454687
177,m442,DAT,superficial,DAT superficial,pre,18,g144,2.6793092403167877,0.07659877114130968,3.4590426259234137,0.16503938529493328
177,m442,DAT,superficial,DAT superficial,pre,18,g147,5.843821098191729,0.029839170695915213,1.9668352096022976,0.3606138828002858
177,m442,DAT,superficial,DAT superficial,pre,18,g148,5.636282785529251,0.0,2.11370425393567,0.30042663894232724
177,m442,DAT,superficial,DAT superficial,pre,18,g149,0.38015946205196854,2.0356209472919504,0.514270111461203,1.5663908522281833
177,m442,DAT,superficial,DAT superficial,pre,18,g150,3.1123020796089924,0.20576847139029972,1.3819580487212706,0.20070546810215947
177,m442,DAT,superficial,DAT superficial,pre,18,g152,0.1582638338746261,2.673197712194452,0.1663469384372521,1.750961890224194
