group_id,mouse,line,depth_class,cohort,compartment,unit_id,state,n_odors,tuning_reliability_signed,tuning_reliability_excitation,tuning_reliability_suppression
238,m466,TH,deep,TH deep,processes,g461,pre,14,0.6971573373440694,0.7794623611022901,0.5965744053805931
238,m466,TH,deep,TH deep,processes,g462,pre,14,0.08807105308960982,0.14777783361259086,0.054150308606945904
238,m466,TH,deep,TH deep,processes,g463,pre,14,0.521830444442466,0.5972518126039768,0.23816732813497066
238,m466,TH,deep,TH deep,processes,g464,pre,14,-0.29341250598484747,-0.10718386580820148,-0.2623724940863653
238,m466,TH,deep,TH deep,processes,g465,pre,14,0.37832608660444855,-0.11009391512939357,0.40203237083182874
238,m466,TH,deep,TH deep,processes,g466,pre,14,0.1274237515472348,-0.0933252611783151,0.1536709732236522
238,m466,TH,deep,TH deep,processes,g467,pre,14,-0.014359379863783626,0.020395852978268122,-0.09771651745168276
238,m466,TH,deep,TH deep,processes,g468,pre,14,0.31473651523688984,-0.1288910399139292,0.37049687461416375
238,m466,TH,deep,TH deep,processes,g469,pre,14,0.18927159679576933,-0.10239984824729428,0.15116339465825404
238,m466,TH,deep,TH deep,processes,g470,pre,14,0.7218416652653687,,0.7218416652653687
238,m466,TH,deep,TH deep,processes,g471,pre,14,-0.1541218147056412,-0.13555965739339304,0.059906102041495934
238,m466,TH,deep,TH deep,processes,g472,pre,14,0.24645676688552814,0.34221881868953336,-0.12180090515735811
238,m466,TH,deep,TH deep,processes,g473,pre,14,0.7703505296824975,0.7987139280789757,0.43433819042423927
238,m466,TH,deep,TH deep,processes,g474,pre,14,0.20268698737267055,-0.06329512441877827,0.3551873465846483
238,m466,TH,deep,TH deep,processes,g475,pre,14,0.4621126646186038,0.7100330082485959,-0.13780395652474375
238,m466,TH,deep,TH deep,processes,g476,pre,14,0.028525465121641575,-0.10229760175715766,0.09016923997146767
238,m466,TH,deep,TH deep,processes,g477,pre,14,0.34191506058258264,-0.07692307692307694,0.3566692256623522
238,m466,TH,deep,TH deep,processes,g478,pre,14,0.2764460712121175,0.9999999999999992,0.22758927806185497
238,m466,TH,deep,TH deep,processes,g479,pre,14,0.3098423916215855,0.15395622190236974,0.27965439619204313
238,m466,TH,deep,TH deep,processes,g480,pre,14,0.22481013673959346,-0.14357208914279157,0.3905397607516332
238,m466,TH,deep,TH deep,processes,g481,pre,14,0.14951791016865967,0.16889771547020044,0.08382925359172108
238,m466,TH,deep,TH deep,processes,g482,pre,14,0.17075142229411397,-0.1623923528843674,0.26112564162186164
238,m466,TH,deep,TH deep,processes,g483,pre,14,-0.06195849190245108,-0.12368254843615954,-0.1366268150473766
238,m466,TH,deep,TH deep,processes,g484,pre,14,-0.41273831029281877,-0.07692307692307694,-0.0779039059989432
238,m466,TH,deep,TH deep,processes,g485,pre,14,-0.30430884906770883,-0.07987506252909349,-0.26526647698824
238,m466,TH,deep,TH deep,processes,g486,pre,14,0.4507641460597106,0.3417249497787135,0.2770130667612366
238,m466,TH,deep,TH deep,processes,g487,pre,14,0.451815772861078,0.39858467198950664,0.2932031707456432
238,m466,TH,deep,TH deep,processes,g488,pre,14,0.318026893381152,0.4813928924340316,0.24432059267621492
238,m466,TH,deep,TH deep,processes,g489,pre,14,-0.15436189573909415,-0.1692283260773842,-0.1109046752538416
