group_id,mouse,line,depth_class,cohort,compartment,state,unit_id,excitation_auc_lifetime_sparseness,suppression_auc_lifetime_sparseness,median_positive_auc_z_s,median_negative_auc_z_s
175,m442,DAT,superficial,DAT superficial,processes,post,g250,0.23389182947709827,0.14687819791404536,0.6903600694719074,1.0095697311846779
175,m442,DAT,superficial,DAT superficial,processes,post,g251,0.23749716112130728,0.0996890194880359,0.618602350771963,0.9664304823499789
175,m442,DAT,superficial,DAT superficial,processes,post,g252,0.7662263072802823,0.18271915315717516,0.9922079883655444,0.7260111688020191
175,m442,DAT,superficial,DAT superficial,processes,post,g253,0.7860130037963464,0.2958890701291136,1.4246890454892935,0.5220301341223084
175,m442,DAT,superficial,DAT superficial,processes,post,g254,0.12819117545026565,0.13550117795766112,0.7747053711962729,0.9838641295991248
175,m442,DAT,superficial,DAT superficial,processes,post,g255,0.147755057723437,0.26941548131950466,1.3021778210491888,0.5503076380156334
175,m442,DAT,superficial,DAT superficial,processes,post,g256,0.21088923513521912,0.08898786068098995,0.5520534095232242,0.9473432983732699
175,m442,DAT,superficial,DAT superficial,processes,post,g257,0.1852889185226814,0.06133835168027025,0.7091688238853265,0.9443491341815788
175,m442,DAT,superficial,DAT superficial,processes,post,g258,0.41191030226226266,0.3144382388883798,1.2985004110293963,0.6962194973393342
175,m442,DAT,superficial,DAT superficial,processes,post,g259,0.20617983371198767,0.07048459812484555,0.6609409924939738,1.0120311508529383
175,m442,DAT,superficial,DAT superficial,processes,post,g26,0.08097567394700518,0.5835611500119806,2.3526682451244385,0.3414880137750548
175,m442,DAT,superficial,DAT superficial,processes,post,g260,0.6327022530010625,0.19159907368902007,1.0364737647252207,0.7202668728645523
175,m442,DAT,superficial,DAT superficial,processes,post,g261,0.19503721166862414,0.06038552052086972,0.676854942567644,1.043972829709644
175,m442,DAT,superficial,DAT superficial,processes,post,g262,0.31544420534840095,0.031434991274592636,0.8175053954295235,1.010080954370463
175,m442,DAT,superficial,DAT superficial,processes,post,g263,0.14371256659203235,0.037676959028247234,0.734452794706135,1.105446663621578
175,m442,DAT,superficial,DAT superficial,processes,post,g264,0.18070757722924605,0.06407038996523035,0.7459300343285318,0.8987281967316633
175,m442,DAT,superficial,DAT superficial,processes,post,g265,0.16871233383481168,0.11528458380622858,0.7218959830136367,0.8243180452865182
175,m442,DAT,superficial,DAT superficial,processes,post,g266,0.17683146076683576,0.039356439679892684,0.7233780521340206,0.9375137074283436
175,m442,DAT,superficial,DAT superficial,processes,post,g267,0.2600830767487679,0.13767486112857377,0.8817240144955404,0.7819453676245591
175,m442,DAT,superficial,DAT superficial,processes,post,g268,0.3095236652851522,0.07156948620486714,0.5912054986711831,0.9901403698290046
175,m442,DAT,superficial,DAT superficial,processes,post,g269,0.8308484120238571,0.17584642961390606,1.148023737475738,0.6602657491389831
175,m442,DAT,superficial,DAT superficial,processes,post,g27,0.37275983229548504,0.31474315343331993,1.998125442298391,0.5860192047319682
175,m442,DAT,superficial,DAT superficial,processes,post,g270,0.39931694060690204,0.3514422138397936,1.192706600411762,0.5869453960161642
175,m442,DAT,superficial,DAT superficial,processes,post,g271,0.22617038690986302,0.0938453829782159,0.8683695570845728,0.9497285248106077
175,m442,DAT,superficial,DAT superficial,processes,post,g272,0.33658046130834013,0.13504696646111583,0.6369009723383459,0.8548740018165517
175,m442,DAT,superficial,DAT superficial,processes,post,g273,0.24755551640712878,0.13114898842963824,0.6792210135677398,0.7915420360403921
175,m442,DAT,superficial,DAT superficial,processes,post,g274,0.14857663718073438,0.1657522334627252,0.6930241376260861,0.9523553973016343
175,m442,DAT,superficial,DAT superficial,processes,post,g275,0.20287606769349412,0.22479508553855265,0.8082550073189756,0.9414558934475502
175,m442,DAT,superficial,DAT superficial,processes,post,g276,0.15283768627494276,0.18032019787753725,0.8242850917202987,0.8577075765901284
175,m442,DAT,superficial,DAT superficial,processes,post,g277,0.37848175958069624,0.2321927547950445,0.8594928128862875,0.8167655749555186
175,m442,DAT,superficial,DAT superficial,processes,post,g278,0.31164154418949547,0.1201776581937252,0.842775778578891,0.7641897706701222
175,m442,DAT,superficial,DAT superficial,processes,post,g279,0.17587064606548353,0.12227533021446793,0.8242706292724977,0.810862958580536
175,m442,DAT,superficial,DAT superficial,processes,post,g28,0.9178458843919977,0.33030344128783956,1.3191508169034678,0.4592905605828952
175,m442,DAT,superficial,DAT superficial,processes,post,g280,0.2842101709929306,0.175079804534503,0.8868581629008185,0.7995120522759277
175,m442,DAT,superficial,DAT superficial,processes,post,g281,0.6367813954263483,0.13632151304179163,0.9191075880953731,0.9009473314792685
175,m442,DAT,superficial,DAT superficial,processes,post,g282,0.3391652279667128,0.16886612097724982,0.6971209685340872,0.8339441108874008
175,m442,DAT,superficial,DAT superficial,processes,post,g283,0.3474513060801033,0.25525733698636743,0.8847162011901382,0.6883395318030935
175,m442,DAT,superficial,DAT superficial,processes,post,g284,0.8514929396967066,0.29830605785146697,1.4032288450155574,0.47021686183969125
175,m442,DAT,superficial,DAT superficial,processes,post,g285,0.32763172905731985,0.14854780203301507,0.9024793402938704,0.7829139658306784
175,m442,DAT,superficial,DAT superficial,processes,post,g286,0.2883577127268619,0.10128193139455303,0.6319434701062339,1.0844004005727401
175,m442,DAT,superficial,DAT superficial,processes,post,g287,0.8595299074881542,0.18101168276121338,0.9892463411483946,0.6963473295289588
175,m442,DAT,superficial,DAT superficial,processes,post,g288,0.8047760385448167,0.49146735551495946,2.171450774690935,0.34261639316704645
175,m442,DAT,superficial,DAT superficial,processes,post,g289,0.31593252923197196,0.0693999691701285,0.7675039998986914,0.9266525347776459
175,m442,DAT,superficial,DAT superficial,processes,post,g29,0.5232392799530348,0.41598361454271776,1.949710654559306,0.3841848380756832
175,m442,DAT,superficial,DAT superficial,processes,post,g290,0.20984678412756574,0.08599839706257892,0.7232372766430258,0.9187590573824662
175,m442,DAT,superficial,DAT superficial,processes,post,g291,0.39318432387815594,0.12271118774991406,0.7393023796142615,0.8651559768825434
175,m442,DAT,superficial,DAT superficial,processes,post,g292,0.1273249317900151,0.04086937631020879,0.7291067562201381,0.914385940949583
175,m442,DAT,superficial,DAT superficial,processes,post,g293,0.8863393454190006,0.23306740791478728,1.786969710591851,0.4004598300251237
175,m442,DAT,superficial,DAT superficial,processes,post,g294,0.3778126500371285,0.27971064410681323,0.8741249946722233,0.8012300095012594
175,m442,DAT,superficial,DAT superficial,processes,post,g295,0.10930110403939307,0.08261091928057153,0.7518391145339993,0.9333106218760574
175,m442,DAT,superficial,DAT superficial,processes,post,g296,0.3143679585577306,0.04641766763890621,0.7014077634173566,1.020776963600134
175,m442,DAT,superficial,DAT superficial,processes,post,g297,0.6435192787538668,0.0942218534335003,0.7105381187577026,0.8935957647156599
175,m442,DAT,superficial,DAT superficial,processes,post,g298,0.7372041370257011,0.1823176763177061,0.7262563376118238,0.9020111715136777
175,m442,DAT,superficial,DAT superficial,processes,post,g299,0.3704232611207509,0.14894549607895902,0.9394146023413724,0.8668061811183914
