group_id,mouse,line,depth_class,cohort,compartment,unit_id,n_awake_trials,median_pupil_coverage,suppression_vs_pupil_rho,suppression_vs_running_rho,excitation_vs_pupil_rho,excitation_vs_running_rho
175,m442,DAT,superficial,DAT superficial,somas,g61,88,0.06896551724137931,0.4016632088371218,-0.2811668786547898,-0.4564354645876384,0.5070198688163948
175,m442,DAT,superficial,DAT superficial,somas,g62,88,0.06896551724137931,-0.018257418583505537,-0.19588568870376533,0.03651483716701107,0.32462236769357933
175,m442,DAT,superficial,DAT superficial,somas,g63,88,0.06896551724137931,0.31037611591959413,-0.30302550298811326,-0.03651483716701107,0.43068217452509205
175,m442,DAT,superficial,DAT superficial,somas,g64,88,0.06896551724137931,0.31037611591959413,-0.2637596414298306,0.1460593486680443,0.33802941405031256
175,m442,DAT,superficial,DAT superficial,somas,g65,88,0.06896551724137931,0.38340579025361626,-0.05346093424790259,-0.1643167672515498,-0.23834165261872578
175,m442,DAT,superficial,DAT superficial,somas,g66,88,0.06896551724137931,-0.09128709291752769,-0.2988444027905007,-0.6755244875897048,-0.004597721458498702
175,m442,DAT,superficial,DAT superficial,somas,g67,88,0.06896551724137931,0.2008316044185609,-0.21039512657186152,-0.18257418583505539,0.2651837141987541
175,m442,DAT,superficial,DAT superficial,somas,g68,88,0.06896551724137931,0.5659799760886717,-0.42871991021397515,-0.4199206274206274,0.6388646762291684
175,m442,DAT,superficial,DAT superficial,somas,g69,88,0.06896551724137931,0.12780193008453875,0.04581070551484587,-0.1460593486680443,0.04661138306202131
175,m442,DAT,superficial,DAT superficial,somas,g70,88,0.06896551724137931,0.1643167672515498,0.1801382858712037,-0.38340579025361626,-0.18947901793488509
175,m442,DAT,superficial,DAT superficial,somas,g71,88,0.06896551724137931,0.31037611591959413,-0.3114326022382631,-0.49295030175464954,0.2672303732315823
175,m442,DAT,superficial,DAT superficial,somas,g72,88,0.06896551724137931,0.4564354645876384,-0.2458977442280591,-0.09128709291752769,0.45841371144399906
175,m442,DAT,superficial,DAT superficial,somas,g73,88,0.06896551724137931,0.09128709291752769,0.31772581587286974,0.3286335345030996,-0.21954904081598667
175,m442,DAT,superficial,DAT superficial,somas,g74,88,0.06896551724137931,0.03651483716701107,-0.04617180151374981,0.09128709291752769,0.06105165893390615
175,m442,DAT,superficial,DAT superficial,somas,g75,88,0.06896551724137931,0.2008316044185609,-0.5162813301694933,-0.4016632088371218,0.626885991074424
175,m442,DAT,superficial,DAT superficial,somas,g76,88,0.06896551724137931,0.3468909530866052,-0.09600606110658208,-0.8946135105917714,-0.03453911150177509
175,m442,DAT,superficial,DAT superficial,somas,g77,88,0.06896551724137931,0.4016632088371218,0.08239345858913046,-0.4199206274206274,0.5505703164249498
175,m442,DAT,superficial,DAT superficial,somas,g78,88,0.06896551724137931,0.6937819061732104,-0.3121988857738975,-0.1460593486680443,0.5550358997877847
175,m442,DAT,superficial,DAT superficial,somas,g79,88,0.06896551724137931,-0.3468909530866052,-0.03306924370868462,-0.12780193008453875,-0.025062756329283696
175,m442,DAT,superficial,DAT superficial,somas,g80,88,0.06896551724137931,0.1460593486680443,-0.17342229511348842,-0.03651483716701107,0.47327256574992127
175,m442,DAT,superficial,DAT superficial,somas,g81,88,0.06896551724137931,-0.03651483716701107,-0.22139183254268116,0.5477225575051661,0.31879156653737273
175,m442,DAT,superficial,DAT superficial,somas,g82,88,0.06896551724137931,0.4564354645876384,-0.18501783850041584,-0.474692883171144,0.22444180523029594
175,m442,DAT,superficial,DAT superficial,somas,g83,88,0.06896551724137931,0.054772255750516606,0.3385123577590442,0.4564354645876384,-0.2225393081763071
175,m442,DAT,superficial,DAT superficial,somas,g84,88,0.06896551724137931,0.018257418583505537,-0.23657566956809556,-0.31037611591959413,0.26595440505626106
175,m442,DAT,superficial,DAT superficial,somas,g85,88,0.06896551724137931,0.018257418583505537,0.0023340820338289157,-0.2556038601690775,0.01649271172960243
175,m442,DAT,superficial,DAT superficial,somas,g86,88,0.06896551724137931,0.6024948132556827,-0.05918780835245854,-0.6755244875897048,0.29563571119044363
175,m442,DAT,superficial,DAT superficial,somas,g87,88,0.06896551724137931,0.1460593486680443,-0.28084415242329563,-0.6755244875897048,0.5979565856400425
175,m442,DAT,superficial,DAT superficial,somas,g88,88,0.06896551724137931,-0.38340579025361626,-0.09202651320405535,-0.38340579025361626,-0.024274453151820724
175,m442,DAT,superficial,DAT superficial,somas,g89,88,0.06896551724137931,0.9128709291752768,-0.07016338672257035,-0.748554161923727,0.29331924487007754
175,m442,DAT,superficial,DAT superficial,somas,g90,88,0.06896551724137931,-0.31037611591959413,-0.22775116110570223,-0.43817804600413285,0.44342028782745085
175,m442,DAT,superficial,DAT superficial,somas,g91,88,0.06896551724137931,0.27386127875258304,-0.02768309370688408,-0.03651483716701107,0.13740256501030595
175,m442,DAT,superficial,DAT superficial,somas,g92,88,0.06896551724137931,-0.31037611591959413,0.05600599006584858,-0.03651483716701107,0.5620205301758086
