group_id,mouse,line,depth_class,cohort,compartment,unit_id,state,baseline_f,f0_log2_post_pre
175,m442,DAT,superficial,DAT superficial,somas,g217,post,466.690673828125,-1.4573860461530361
175,m442,DAT,superficial,DAT superficial,somas,g218,post,734.2656860351562,-1.496730150220592
175,m442,DAT,superficial,DAT superficial,somas,g219,post,1986.674072265625,-1.5106387490689275
175,m442,DAT,superficial,DAT superficial,somas,g220,post,1858.337646484375,-1.7084911336995057
175,m442,DAT,superficial,DAT superficial,somas,g221,post,1481.7972412109375,-1.486195049794827
175,m442,DAT,superficial,DAT superficial,somas,g222,post,1907.3818359375,-1.6091855524045722
175,m442,DAT,superficial,DAT superficial,somas,g223,post,1600.90087890625,-1.0806455599285243
175,m442,DAT,superficial,DAT superficial,somas,g224,post,1059.117431640625,-2.926933698087568
175,m442,DAT,superficial,DAT superficial,somas,g225,post,504.278076171875,-3.683665115455525
175,m442,DAT,superficial,DAT superficial,somas,g226,post,1683.5311279296875,-1.2363844996881155
175,m442,DAT,superficial,DAT superficial,somas,g227,post,1669.901611328125,-1.3366981216782767
175,m442,DAT,superficial,DAT superficial,somas,g228,post,1067.740234375,-1.0517174316181945
175,m442,DAT,superficial,DAT superficial,somas,g229,post,4866.443359375,-0.39685071276512746
175,m442,DAT,superficial,DAT superficial,somas,g230,post,1763.65087890625,-1.5499373666993206
175,m442,DAT,superficial,DAT superficial,somas,g231,post,1332.9637451171875,-2.676269795836563
175,m442,DAT,superficial,DAT superficial,somas,g232,post,1580.608642578125,-2.084285324672191
175,m442,DAT,superficial,DAT superficial,somas,g233,post,1299.98876953125,-2.0401122047903257
175,m442,DAT,superficial,DAT superficial,somas,g234,post,2260.485595703125,-1.3926240885719576
175,m442,DAT,superficial,DAT superficial,somas,g235,post,1266.751220703125,-1.069259034745951
175,m442,DAT,superficial,DAT superficial,somas,g236,post,1093.5994873046875,-1.7407092607864108
175,m442,DAT,superficial,DAT superficial,somas,g1,pre,15413.146484375,-1.501087593589017
175,m442,DAT,superficial,DAT superficial,somas,g2,pre,9288.224609375,-2.043472691907716
175,m442,DAT,superficial,DAT superficial,somas,g3,pre,10352.958984375,-2.3572014689934733
175,m442,DAT,superficial,DAT superficial,somas,g4,pre,12897.5302734375,-1.7563801006814996
175,m442,DAT,superficial,DAT superficial,somas,g5,pre,8626.251953125,-1.7844285404278453
175,m442,DAT,superficial,DAT superficial,somas,g6,pre,18028.685546875,-2.2083230554084685
175,m442,DAT,superficial,DAT superficial,somas,g7,pre,12750.3359375,-0.7550173323587118
175,m442,DAT,superficial,DAT superficial,somas,g8,pre,12889.232421875,-1.3557395100989056
175,m442,DAT,superficial,DAT superficial,somas,g9,pre,10962.2275390625,-2.5527775048246513
175,m442,DAT,superficial,DAT superficial,somas,g10,pre,7698.85302734375,-2.2084492225902395
175,m442,DAT,superficial,DAT superficial,somas,g11,pre,16662.70703125,-2.0657956509835973
175,m442,DAT,superficial,DAT superficial,somas,g12,pre,7574.16357421875,-1.224357529468581
175,m442,DAT,superficial,DAT superficial,somas,g13,pre,8290.81640625,-0.5750769156098766
175,m442,DAT,superficial,DAT superficial,somas,g14,pre,10429.0791015625,-1.5635247861057195
175,m442,DAT,superficial,DAT superficial,somas,g15,pre,14807.505859375,-1.8166950063624878
175,m442,DAT,superficial,DAT superficial,somas,g16,pre,12415.0546875,-3.1559752980499916
175,m442,DAT,superficial,DAT superficial,somas,g17,pre,6981.46435546875,-1.747072135766615
175,m442,DAT,superficial,DAT superficial,somas,g18,pre,13853.533203125,-1.6255143135363377
175,m442,DAT,superficial,DAT superficial,somas,g19,pre,9540.33203125,-1.754337443229662
175,m442,DAT,superficial,DAT superficial,somas,g20,pre,8204.66796875,-1.190436916663972
175,m442,DAT,superficial,DAT superficial,somas,g21,pre,10162.44921875,-2.0250166690864564
175,m442,DAT,superficial,DAT superficial,somas,g22,pre,11548.423828125,-1.8308291146828277
175,m442,DAT,superficial,DAT superficial,somas,g23,pre,9762.685546875,-2.557368363289365
175,m442,DAT,superficial,DAT superficial,somas,g24,pre,10733.47265625,-1.7395974928853106
175,m442,DAT,superficial,DAT superficial,somas,g25,pre,10737.953125,-1.7904644238598721
175,m442,DAT,superficial,DAT superficial,somas,g26,pre,9207.7265625,-1.1223955108746106
175,m442,DAT,superficial,DAT superficial,somas,g27,pre,7959.05078125,-2.1644785457904394
175,m442,DAT,superficial,DAT superficial,somas,g28,pre,3835.5185546875,-2.830265652832835
175,m442,DAT,superficial,DAT superficial,somas,g29,pre,11161.2841796875,-2.218656455400766
175,m442,DAT,superficial,DAT superficial,somas,g30,pre,11956.7724609375,-2.547153800398649
175,m442,DAT,superficial,DAT superficial,somas,g31,pre,5249.53173828125,-1.8785173916502025
175,m442,DAT,superficial,DAT superficial,somas,g32,pre,6219.6845703125,-2.4123672644826706
175,m442,DAT,superficial,DAT superficial,somas,g33,pre,13342.80078125,-2.0645577569695557
175,m442,DAT,superficial,DAT superficial,somas,g34,pre,9785.484375,-1.481353334383526
175,m442,DAT,superficial,DAT superficial,somas,g35,pre,15001.560546875,-2.342403505946441
175,m442,DAT,superficial,DAT superficial,somas,g36,pre,16898.400390625,-0.5840208105663168
175,m442,DAT,superficial,DAT superficial,somas,g37,pre,5425.65625,-1.460551816742973
175,m442,DAT,superficial,DAT superficial,somas,g38,pre,11959.814453125,-2.735317415739839
175,m442,DAT,superficial,DAT superficial,somas,g39,pre,10233.880859375,-1.4346568930610661
175,m442,DAT,superficial,DAT superficial,somas,g40,pre,9891.720703125,-2.0976109732401467
175,m442,DAT,superficial,DAT superficial,somas,g41,pre,7857.93701171875,-2.175734089089002
175,m442,DAT,superficial,DAT superficial,somas,g42,pre,10152.244140625,-1.9716665077010205
175,m442,DAT,superficial,DAT superficial,somas,g43,pre,8232.716796875,-2.0380088083894234
175,m442,DAT,superficial,DAT superficial,somas,g44,pre,8683.70703125,-1.7676001418080884
175,m442,DAT,superficial,DAT superficial,somas,g45,pre,11482.0078125,-2.000965999420605
175,m442,DAT,superficial,DAT superficial,somas,g46,pre,14828.005859375,-1.866319651858183
175,m442,DAT,superficial,DAT superficial,somas,g47,pre,5624.17626953125,-1.8026756876100594
175,m442,DAT,superficial,DAT superficial,somas,g48,pre,10107.2470703125,-1.932021805836725
175,m442,DAT,superficial,DAT superficial,somas,g49,pre,6706.0810546875,-2.191701931256117
175,m442,DAT,superficial,DAT superficial,somas,g50,pre,7814.751953125,-1.7820619222934064
175,m442,DAT,superficial,DAT superficial,somas,g51,pre,7800.78173828125,-2.2458214940133328
175,m442,DAT,superficial,DAT superficial,somas,g52,pre,5174.224609375,-0.9827770880732349
175,m442,DAT,superficial,DAT superficial,somas,g53,pre,4007.41015625,-2.130574895026503
175,m442,DAT,superficial,DAT superficial,somas,g54,pre,7468.833984375,-2.8991148232176416
175,m442,DAT,superficial,DAT superficial,somas,g55,pre,7233.61767578125,-2.289587773077507
175,m442,DAT,superficial,DAT superficial,somas,g56,pre,4138.2900390625,-1.5948687674801387
175,m442,DAT,superficial,DAT superficial,somas,g57,pre,14090.58203125,-2.5603990036205486
175,m442,DAT,superficial,DAT superficial,somas,g58,pre,12652.478515625,-2.4692749628090405
175,m442,DAT,superficial,DAT superficial,somas,g59,pre,3226.462890625,-1.717819234358303
175,m442,DAT,superficial,DAT superficial,somas,g60,pre,6855.580078125,-0.8105097947828614
175,m442,DAT,superficial,DAT superficial,somas,g61,pre,4015.4638671875,-3.6696832525283507
175,m442,DAT,superficial,DAT superficial,somas,g62,pre,5971.54052734375,-2.186309805664788
175,m442,DAT,superficial,DAT superficial,somas,g63,pre,1198.1376953125,0.6181909641059851
175,m442,DAT,superficial,DAT superficial,somas,g64,pre,5293.0029296875,-1.7192333149827166
175,m442,DAT,superficial,DAT superficial,somas,g65,pre,11544.4580078125,-1.5935933751187614
