group_id,mouse,line,depth_class,cohort,compartment,state,odor_id,population_pattern_reliability,n_trials
196,m472,DAT,superficial,DAT superficial,somas,pre,31,0.9377108216285706,8
196,m472,DAT,superficial,DAT superficial,somas,pre,32,0.9600695371627808,7
196,m472,DAT,superficial,DAT superficial,somas,pre,39,0.9544788599014282,10
196,m472,DAT,superficial,DAT superficial,somas,pre,40,0.6638990044593811,3
196,m472,DAT,superficial,DAT superficial,processes,post,1,0.8357469439506531,6
196,m472,DAT,superficial,DAT superficial,processes,post,2,0.8593447208404541,10
196,m472,DAT,superficial,DAT superficial,processes,post,3,0.7941252589225769,10
196,m472,DAT,superficial,DAT superficial,processes,post,4,0.5149428844451904,7
196,m472,DAT,superficial,DAT superficial,processes,post,10,0.7400987148284912,7
196,m472,DAT,superficial,DAT superficial,processes,post,12,0.9008988738059998,7
196,m472,DAT,superficial,DAT superficial,processes,post,17,0.9154467582702637,7
196,m472,DAT,superficial,DAT superficial,processes,post,18,0.906391441822052,5
196,m472,DAT,superficial,DAT superficial,processes,post,21,0.8293153047561646,4
196,m472,DAT,superficial,DAT superficial,processes,post,22,0.9233541488647461,8
196,m472,DAT,superficial,DAT superficial,processes,post,30,0.8920478820800781,5
196,m472,DAT,superficial,DAT superficial,processes,post,31,0.9405999183654785,11
196,m472,DAT,superficial,DAT superficial,processes,post,32,0.9449228048324585,8
196,m472,DAT,superficial,DAT superficial,processes,post,39,0.9084111452102661,6
196,m472,DAT,superficial,DAT superficial,processes,post,40,0.8715560436248779,4
196,m472,DAT,superficial,DAT superficial,processes,pre,1,0.9433331489562988,9
196,m472,DAT,superficial,DAT superficial,processes,pre,2,0.6881727576255798,6
196,m472,DAT,superficial,DAT superficial,processes,pre,3,0.9168741703033447,8
196,m472,DAT,superficial,DAT superficial,processes,pre,4,0.8749812245368958,9
196,m472,DAT,superficial,DAT superficial,processes,pre,10,0.853502094745636,6
196,m472,DAT,superficial,DAT superficial,processes,pre,12,0.8542056083679199,7
196,m472,DAT,superficial,DAT superficial,processes,pre,17,0.9177509546279907,6
