group_id,mouse,line,state,pair,n_a,n_b,integrated_crossnobis,spatiotemporal_crossnobis,integrated_cosine
232,m465,TH,pre,39-40,8,5,0.15592600816098348,0.0023935135489899216,0.09551763534545898
232,m465,TH,post,17-18,5,3,0.3417447958480991,0.5450643308238238,0.012727737426757812
232,m465,TH,post,31-32,3,5,1.0926551262717292,0.9660466887081554,0.020536720752716064
213,m392,Thy1,pre,17-18,8,4,-0.26596597252955756,-0.014446354438739591,0.014133751392364502
213,m392,Thy1,pre,31-32,6,4,0.14506207767556065,0.21017542749806978,0.0106048583984375
213,m392,Thy1,pre,39-40,7,7,1.2142821477191665,0.9668479350060061,0.0966193675994873
213,m392,Thy1,post,17-18,6,4,0.10247801662001808,0.1779584756038485,0.01564687490463257
213,m392,Thy1,post,31-32,4,3,1.2882092761719781,1.2397572369045902,0.050678789615631104
213,m392,Thy1,post,39-40,4,3,3.0738562320881404,2.3542144905604863,0.09038949012756348
214,m426,Thy1,pre,17-18,5,6,0.10510688711672095,0.0941430830037002,0.019812285900115967
214,m426,Thy1,pre,39-40,5,3,1.3941654603737552,1.431192260001452,0.2811598777770996
214,m426,Thy1,post,17-18,4,4,1.6188738038018584,1.3451479006639089,0.045910775661468506
214,m426,Thy1,post,31-32,6,5,0.21616590828036206,0.11407687722901914,0.02280402183532715
214,m426,Thy1,post,39-40,6,7,0.850659273200704,0.34399420817562404,0.056974947452545166
215,m496,DAT,pre,17-18,7,5,0.20951684639508736,0.09767367634113858,0.02360057830810547
215,m496,DAT,pre,31-32,5,6,0.6702601553030924,0.3582583520952163,0.024121522903442383
215,m496,DAT,pre,39-40,6,4,1.8824434676465063,1.466057742487309,0.10665780305862427
215,m496,DAT,post,17-18,2,2,4.8588536946518275,3.7487380159154697,0.11352360248565674
215,m496,DAT,post,31-32,5,6,0.9041301359744924,0.6024863005001037,0.016595125198364258
215,m496,DAT,post,39-40,5,5,0.7133454577571399,0.6279316289888645,0.0638875961303711
216,m392,Thy1,pre,17-18,7,6,0.2969585030467128,0.3814380482029444,0.01799917221069336
216,m392,Thy1,pre,31-32,3,7,0.5157571388444642,0.36290947818214214,0.051057398319244385
216,m392,Thy1,pre,39-40,4,5,2.041745771760241,1.9143283213361626,0.09993630647659302
216,m392,Thy1,post,17-18,5,5,-0.010080562522562462,0.09701861433741395,0.00844430923461914
216,m392,Thy1,post,31-32,8,6,0.2608747390981494,0.18064617995912968,0.017944753170013428
216,m392,Thy1,post,39-40,7,3,2.6770199409646995,1.7557025432363988,0.04788726568222046
217,m426,Thy1,pre,17-18,6,7,1.7050427076580326,0.859968349636366,0.016871094703674316
217,m426,Thy1,pre,31-32,4,6,0.4103559488283113,0.35583110944858576,0.011118113994598389
217,m426,Thy1,pre,39-40,3,5,12.460308615138159,9.10809659783214,0.22510331869125366
217,m426,Thy1,post,17-18,4,5,0.1077604379976123,0.1778726782819033,0.011826038360595703
217,m426,Thy1,post,31-32,4,6,0.46413787806731127,0.20781109472368672,0.025171756744384766
