group_id,mouse,line,state,pair,n_a,n_b,integrated_crossnobis,spatiotemporal_crossnobis,integrated_cosine,min_trials,trial_imbalance,eligible_primary,integrated_crossnobis_robust_z,integrated_crossnobis_outlier_flag,spatiotemporal_crossnobis_robust_z,spatiotemporal_crossnobis_outlier_flag,integrated_cosine_robust_z,integrated_cosine_outlier_flag
215,m496,DAT,post,17-18,2,2,4.8588536946518275,3.7487380159154697,0.1135236024856567,2,0,False,10.819990515671469,True,7.836682071328468,True,4.512553367382249,True
215,m496,DAT,post,31-32,5,6,0.9041301359744924,0.6024863005001037,0.0165951251983642,5,1,True,4.240446784900674,True,2.822782159454103,False,-0.551908126976681,False
215,m496,DAT,post,39-40,5,5,0.7133454577571399,0.6279316289888645,0.0638875961303711,5,0,True,0.4744690274989726,False,0.45373390187347423,False,3.854399830356598,True
216,m392,Thy1,pre,17-18,7,6,0.2969585030467128,0.3814380482029444,0.0179991722106933,6,1,True,-0.0835948805253681,False,-0.3578800071335353,False,-0.2761195513208672,False
216,m392,Thy1,pre,31-32,3,7,0.5157571388444642,0.3629094781821421,0.0510573983192443,3,4,True,0.0,False,0.0,False,6.712824454951876,True
216,m392,Thy1,pre,39-40,4,5,2.041745771760241,1.9143283213361624,0.099936306476593,4,1,True,-0.5499111661262813,False,-0.19636694820347367,False,-0.7464493334100463,False
216,m392,Thy1,post,17-18,5,5,-0.0100805625225624,0.0970186143374139,0.0084443092346191,5,0,True,-0.800631415082016,False,-0.8579653568907034,False,-0.9582374014494668,False
216,m392,Thy1,post,31-32,8,6,0.2608747390981494,0.1806461799591296,0.0179447531700134,6,2,True,0.0009725045044268505,False,-0.2563649508273929,False,-0.6864243045169024,False
216,m392,Thy1,post,39-40,7,3,2.6770199409646995,1.7557025432363988,0.0478872656822204,3,4,True,0.4124475009055486,False,0.5540291323451816,False,-0.3356845903758398,False
217,m426,Thy1,pre,17-18,6,7,1.7050427076580326,0.859968349636366,0.0168710947036743,6,1,True,2.1211494788136576,False,0.9592705216984855,False,-0.619709980217186,False
217,m426,Thy1,pre,31-32,4,6,0.4103559488283113,0.3558311094485857,0.0111181139945983,4,2,True,-0.25869874702179513,False,-0.09461658054208429,False,-0.5807707650846572,False
217,m426,Thy1,pre,39-40,3,5,12.46030861513816,9.10809659783214,0.2251033186912536,3,2,True,3.45897104500018,False,7.845719792427975,True,0.2983339551495677,False
217,m426,Thy1,post,17-18,4,5,0.1077604379976123,0.1778726782819033,0.0118260383605957,4,1,True,-0.5564888136100522,False,-0.6329600396225723,False,-0.4804702522519086,False
217,m426,Thy1,post,31-32,4,6,0.4641378780673112,0.2078110947236867,0.0251717567443847,4,2,True,1.6026037236398298,False,-0.08805018486162307,False,0.2921273018247058,False
217,m426,Thy1,post,39-40,6,3,0.27645915390879,0.1910095552422106,0.0164124369621276,3,3,True,-0.6717910231371838,False,-0.6741076959150126,False,-2.6609453671243135,False
218,m496,DAT,pre,17-18,7,6,-0.0174775911870008,-0.0074509165479535,0.017320692539215,6,1,True,-0.6745,False,-0.5830166275976176,False,-0.7784326502229323,False
218,m496,DAT,pre,31-32,8,5,0.4873259492478058,0.4346948656425762,0.0227106809616088,5,3,True,0.6745000000000001,False,1.112738879359445,False,0.0,False
218,m496,DAT,pre,39-40,4,4,6.08364138792356,3.2366126488507807,0.1630754470825195,4,0,True,2.58170321207083,False,2.6394128849024763,False,0.2758649702549698,False
218,m496,DAT,post,17-18,5,7,0.0678595374256227,0.086910822323742,0.0223584771156311,5,2,True,-0.5207701566485393,False,-0.7434595487482198,False,-0.18768412396121759,False
218,m496,DAT,post,31-32,7,4,0.2646590857805392,0.2031651330665096,0.0295894742012023,4,3,True,0.5515892512688173,False,-0.02023063888186538,False,0.0327104738466914,False
218,m496,DAT,post,39-40,4,4,0.8393332146569328,1.0468707032756697,0.0426050424575805,4,0,True,0.7061744925178522,False,1.3376211462970686,False,0.0,False
