group_id,cohort,state,cov_masked,cov_unmasked,blink,clipped,median_px
218,DAT 10x,post,0.6798924731182796,0.9764247311827957,0.0006989247311827957,0.29583333333333334,134.967333993827
220,Thy1 10x,pre,0.416957171314741,0.9818725099601594,0.2512948207171315,0.3136205179282869,112.71282516086347
220,Thy1 10x,post,0.9678535856573706,0.9753237051792829,0.0022410358565737054,0.005229083665338645,130.05021134159435
221,Thy1 10x,pre,0.12664342629482073,0.9765189243027889,0.4443974103585657,0.40577689243027887,118.91244243030832
221,Thy1 10x,post,0.604695143476726,0.9812395985677543,0.012683443441424178,0.3638610116496041,93.28044700304139
222,DAT 10x,pre,0.7351881720430108,0.9978225806451613,0.05309139784946237,0.20954301075268816,155.82931218910755
222,DAT 10x,post,0.9891666666666666,0.9912365591397849,0.0,0.0020698924731182796,108.2879513871616
229,TH 10x,pre,0.758298755186722,0.9783713692946058,0.01683091286307054,0.20324170124481328,132.61298407001368
229,TH 10x,post,0.946109958506224,0.946109958506224,0.0,0.0,96.62098671064268
223,Thy1 10x,pre,0.7793824701195219,0.9846115537848605,0.017554780876494022,0.18767430278884462,128.3853868607204
223,Thy1 10x,post,0.9599352589641434,0.9838645418326694,0.00047310756972111556,0.023456175298804782,100.75816904509689
224,Thy1 10x,pre,0.889652489626556,0.9743516597510373,0.00412344398340249,0.08057572614107884,95.06872125555176
224,Thy1 10x,post,0.9291753112033195,0.9598288381742739,0.0,0.030653526970954355,86.96009469599896
226,TH 20x superficial,pre,0.0753293774514734,0.1628784069194408,0.0004525797043145932,0.08709644976365283,151.71332048242627
226,TH 20x superficial,post,0.0,0.0,0.0,0.0,
227,DAT 20x superficial,pre,0.9970588235294118,0.9970996732026144,0.0,4.0849673202614376e-05,102.69749247112179
227,DAT 20x superficial,post,0.9965441176470589,0.9965441176470589,0.0,0.0,86.7938427823423
235,TH 20x superficial,pre,0.0,0.00010360547036883547,0.0,0.00010360547036883547,158.2383270263672
235,TH 20x superficial,post,0.0,0.0,0.0,0.0,
236,DAT 20x superficial,pre,0.004035433070866142,0.021916010498687664,3.280839895013123e-05,0.01784776902887139,146.12765165281021
236,DAT 20x superficial,post,0.0,0.0,0.0,0.0,
244,TH 20x superficial,pre,0.9343932167461579,0.9969528351881293,0.0043720190779014305,0.058187599364069954,87.89102228678519
244,TH 20x superficial,post,0.959846547314578,0.9669437340153453,0.006585677749360614,0.0005115089514066496,87.07777058105953
