group_id,mouse,line,depth_class,compartment,state,pair,n_a,n_b,integrated_crossnobis,integrated_null_z,integrated_cosine,spatiotemporal_crossnobis,spatiotemporal_null_z,time_s,one_second_crossnobis,cumulative_crossnobis
201,m472,DAT,superficial,processes,post,31-32,6,7,0.027926022153027738,-0.09376593850407124,0.04566943645477295,0.019050674360019604,-0.14318839113555826,2.0,-0.03206838812437394,-0.058692350608496216
201,m472,DAT,superficial,processes,post,31-32,6,7,0.027926022153027738,-0.09376593850407124,0.04566943645477295,0.019050674360019604,-0.14318839113555826,3.0,-0.06082757274381715,-0.058076480142188455
201,m472,DAT,superficial,processes,post,31-32,6,7,0.027926022153027738,-0.09376593850407124,0.04566943645477295,0.019050674360019604,-0.14318839113555826,4.0,0.22179761622501842,0.008969864454506638
201,m472,DAT,superficial,processes,post,39-40,7,6,0.04226511844291179,-0.010556374174270255,0.036762237548828125,0.045271618973551336,-0.03563410692618519,1.0,0.02457384017748659,0.027056525509041748
201,m472,DAT,superficial,processes,post,39-40,7,6,0.04226511844291179,-0.010556374174270255,0.036762237548828125,0.045271618973551336,-0.03563410692618519,2.0,0.042391450800127566,0.030584705436874794
201,m472,DAT,superficial,processes,post,39-40,7,6,0.04226511844291179,-0.010556374174270255,0.036762237548828125,0.045271618973551336,-0.03563410692618519,3.0,0.07233257452768593,0.07498534169933276
201,m472,DAT,superficial,processes,post,39-40,7,6,0.04226511844291179,-0.010556374174270255,0.036762237548828125,0.045271618973551336,-0.03563410692618519,4.0,-0.01274626349979486,0.014377517657844341
202,m496,DAT,superficial,somas,pre,17-18,6,6,0.09862657262498081,0.17499484734573956,0.07678699493408203,0.0902729514402201,0.31399110937250185,1.0,0.14518715141159938,0.14466576568270914
202,m496,DAT,superficial,somas,pre,17-18,6,6,0.09862657262498081,0.17499484734573956,0.07678699493408203,0.0902729514402201,0.31399110937250185,2.0,0.09414721121253769,0.05759930126173319
202,m496,DAT,superficial,somas,pre,17-18,6,6,0.09862657262498081,0.17499484734573956,0.07678699493408203,0.0902729514402201,0.31399110937250185,3.0,0.027218326601937723,0.10750414071649564
202,m496,DAT,superficial,somas,pre,17-18,6,6,0.09862657262498081,0.17499484734573956,0.07678699493408203,0.0902729514402201,0.31399110937250185,4.0,0.045736868681900036,0.09222109567114985
202,m496,DAT,superficial,somas,pre,31-32,7,6,0.36743235327164,2.529774609387446,0.018137454986572266,0.2237434968286366,1.5624012242251173,1.0,0.001795401673423845,0.010798671688861384
202,m496,DAT,superficial,somas,pre,31-32,7,6,0.36743235327164,2.529774609387446,0.018137454986572266,0.2237434968286366,1.5624012242251173,2.0,0.32992245610621596,0.16322216489748936
202,m496,DAT,superficial,somas,pre,31-32,7,6,0.36743235327164,2.529774609387446,0.018137454986572266,0.2237434968286366,1.5624012242251173,3.0,0.3119832553753889,0.389513207873338
202,m496,DAT,superficial,somas,pre,31-32,7,6,0.36743235327164,2.529774609387446,0.018137454986572266,0.2237434968286366,1.5624012242251173,4.0,0.27082740757271806,0.34781544182031215
